person,personLabel,location,birthyear,sitelinks
http://www.wikidata.org/entity/Q56228,Bruno the Great,Point(13.358888888 51.026944444),925,25
http://www.wikidata.org/entity/Q150512,Otto II,Point(13.358888888 51.026944444),955,59
http://www.wikidata.org/entity/Q571396,Robert III of Worms,Point(13.358888888 51.026944444),781,16
http://www.wikidata.org/entity/Q561828,Gero,Point(11.0 51.0),900,12
http://www.wikidata.org/entity/Q697703,"Poppo, Duke of Thuringia",Point(11.0 51.0),900,11
http://www.wikidata.org/entity/Q440193,Altfrid,Point(6.957777777 50.942222222),800,13
http://www.wikidata.org/entity/Q154732,Agrippina the Younger,Point(6.957777777 50.942222222),15,59
http://www.wikidata.org/entity/Q1511823,Gerard I of Toul,Point(6.957777777 50.942222222),935,11
http://www.wikidata.org/entity/Q232525,Theodelinda,Point(12.083333333 49.016666666),570,37
http://www.wikidata.org/entity/Q254389,Gisela of Burgundy,Point(12.083333333 49.016666666),950,20
http://www.wikidata.org/entity/Q452407,Irmgard of Chiemsee,Point(12.083333333 49.016666666),831,10
http://www.wikidata.org/entity/Q1827850,Hidulf,Point(12.083333333 49.016666666),601,9
http://www.wikidata.org/entity/Q96490,Aquilinus of Milan,Point(9.929444444 49.794444444),950,9
http://www.wikidata.org/entity/Q348137,"Leopold I, Margrave of Austria",Point(9.929444444 49.794444444),940,31
http://www.wikidata.org/entity/Q68880,Arminius,Point(9.64806 51.42139),-17,70
http://www.wikidata.org/entity/Q68880,Arminius,Point(9.64806 51.42139),-16,70
http://www.wikidata.org/entity/Q68880,Arminius,Point(8.522222 53.561111),-17,70
http://www.wikidata.org/entity/Q68880,Arminius,Point(8.522222 53.561111),-16,70
http://www.wikidata.org/entity/Q440164,Segimer,Point(9.64806 51.42139),-100,11
http://www.wikidata.org/entity/Q440164,Segimer,Point(9.64806 51.42139),-1,11
http://www.wikidata.org/entity/Q440164,Segimer,Point(8.522222 53.561111),-100,11
http://www.wikidata.org/entity/Q440164,Segimer,Point(8.522222 53.561111),-1,11
http://www.wikidata.org/entity/Q3229149,Leidrad of Lyon,Point(11.0775 49.453888888),743,9
http://www.wikidata.org/entity/Q3229149,Leidrad of Lyon,Point(11.0775 49.453888888),745,9
http://www.wikidata.org/entity/Q539434,Angilbert,Point(6.083788 50.776207),740,17
http://www.wikidata.org/entity/Q235668,Hemma,Point(11.385555555 49.078611111),800,23
http://www.wikidata.org/entity/Q316534,Eigil of Fulda,Point(11.385555555 49.078611111),750,8
http://www.wikidata.org/entity/Q474132,Joseph of Freising,Point(11.385555555 49.078611111),700,9
http://www.wikidata.org/entity/Q504276,Garibald I of Bavaria,Point(11.385555555 49.078611111),540,21
http://www.wikidata.org/entity/Q504276,Garibald I of Bavaria,Point(11.385555555 49.078611111),550,21
http://www.wikidata.org/entity/Q544145,Astrik,Point(11.385555555 49.078611111),955,12
http://www.wikidata.org/entity/Q697382,"Henry III, Duke of Bavaria",Point(11.385555555 49.078611111),940,20
http://www.wikidata.org/entity/Q697382,"Henry III, Duke of Bavaria",Point(11.385555555 49.078611111),943,20
http://www.wikidata.org/entity/Q160441,Rabanus Maurus,Point(8.266666666 50.0),776,41
http://www.wikidata.org/entity/Q160441,Rabanus Maurus,Point(8.266666666 50.0),780,41
http://www.wikidata.org/entity/Q160441,Rabanus Maurus,Point(8.266666666 50.0),784,41
http://www.wikidata.org/entity/Q676775,Gottschalk of Orbais,Point(8.266666666 50.0),805,18
http://www.wikidata.org/entity/Q43689,Ambrose,Point(6.641388888 49.756666666),339,89
http://www.wikidata.org/entity/Q46846,Valentinian II,Point(6.641388888 49.756666666),371,54
http://www.wikidata.org/entity/Q260816,Emygdius,Point(6.641388888 49.756666666),273,10
http://www.wikidata.org/entity/Q43689,Ambrose,Point(6.63935 49.75565),339,89
http://www.wikidata.org/entity/Q46846,Valentinian II,Point(6.63935 49.75565),371,54
http://www.wikidata.org/entity/Q260816,Emygdius,Point(6.63935 49.75565),273,10
http://www.wikidata.org/entity/Q289060,Irmina of Oeren,Point(6.63935 49.75565),700,16
http://www.wikidata.org/entity/Q299955,Saint Marcellina,Point(6.63935 49.75565),327,10
http://www.wikidata.org/entity/Q345971,Germanus of Granfelden,Point(6.63935 49.75565),612,9
http://www.wikidata.org/entity/Q526245,Honoratus,Point(6.63935 49.75565),365,16
http://www.wikidata.org/entity/Q532684,Salvian,Point(6.63935 49.75565),400,23
http://www.wikidata.org/entity/Q560809,Milo,Point(6.63935 49.75565),650,8
http://www.wikidata.org/entity/Q820607,Magneric,Point(6.63935 49.75565),600,6
http://www.wikidata.org/entity/Q289060,Irmina of Oeren,Point(6.641388888 49.756666666),700,16
http://www.wikidata.org/entity/Q299955,Saint Marcellina,Point(6.641388888 49.756666666),327,10
http://www.wikidata.org/entity/Q345971,Germanus of Granfelden,Point(6.641388888 49.756666666),612,9
http://www.wikidata.org/entity/Q526245,Honoratus,Point(6.641388888 49.756666666),365,16
http://www.wikidata.org/entity/Q532684,Salvian,Point(6.641388888 49.756666666),400,23
